customer_id,recency,frequency,monetary,r_score,f_score,m_score,segment
C0159,172,1,245.70000000000002,1,1,1,Hibernating
C0160,93,5,660.86,2,3,2,Regular
C0161,137,2,394.948,1,1,1,Hibernating
C0162,4,7,1548.357,5,3,3,Loyal
C0163,106,3,507.14000000000004,2,2,1,Hibernating
C0164,46,27,7400.901000000001,3,5,5,Loyal
C0166,39,14,2943.4045,3,5,4,Loyal
C0167,1,2,731.6600000000001,5,1,2,Promising
C0168,39,7,1023.343,3,3,2,Loyal
C0169,231,2,2270.256,1,1,3,Hibernating
C0170,135,1,464.98,1,1,1,Hibernating
C0171,3,39,12056.7035,5,5,5,Champions
C0172,176,4,1313.474,1,2,3,Hibernating
C0173,13,4,877.923,4,2,2,Promising
C0174,78,3,892.0504999999999,2,2,2,Hibernating
C0175,8,11,3167.121,5,4,4,Champions
C0176,7,5,2524.1515,5,3,4,Loyal
C0177,88,5,2519.2115,2,3,4,Regular
C0178,156,1,483.0179999999999,1,1,1,Hibernating
C0179,25,16,3861.77,4,5,4,Champions
C0181,38,9,1880.753,3,4,3,Loyal
C0182,6,15,4925.6735,5,5,5,Champions
C0183,12,11,4492.67,4,4,5,Champions
C0184,3,3,1590.3374999999999,5,2,3,Promising
C0185,12,21,6719.4025,4,5,5,Champions
C0186,18,10,2390.674,4,4,4,Champions
C0187,36,10,2524.691,3,4,4,Loyal
C0188,7,5,1471.5755,5,3,3,Loyal
C0189,20,2,249.19099999999997,4,1,1,Promising
C0190,30,20,9273.75,3,5,5,Loyal
C0191,55,10,3592.5860000000002,2,4,4,At Risk
C0192,40,3,2228.511,3,2,3,Regular
C0193,232,3,434.57,1,2,1,Hibernating
C0194,15,6,3316.16,4,3,4,Loyal
C0195,27,38,14058.1425,4,5,5,Champions
C0196,24,3,591.448,4,2,2,Promising
C0197,11,1,315.35,5,1,1,Promising
C0198,372,3,608.356,1,2,2,Hibernating
C0199,54,4,2446.61,3,2,4,Regular
C0201,37,14,5489.6505,3,5,5,Loyal
C0202,61,3,641.7520000000001,2,2,2,Hibernating
C0203,16,33,9698.979,4,5,5,Champions
C0205,109,1,54.6,2,1,1,Hibernating
C0206,49,4,1368.3780000000002,3,2,3,Regular
C0207,116,3,573.275,1,2,2,Hibernating
C0208,2,64,18451.049,5,5,5,Champions
C0210,235,2,397.48,1,1,1,Hibernating
C0211,80,1,43.68000000000001,2,1,1,Hibernating
C0212,264,2,292.93,1,1,1,Hibernating
C0213,13,14,3595.8085,4,5,4,Champions
C0214,37,3,429.2995,3,2,1,Regular
C0215,144,3,1336.193,1,2,3,Hibernating
C0216,56,1,128.77,2,1,1,Hibernating
C0217,23,4,2298.629,4,2,4,Promising
C0218,1,7,1731.5149999999999,5,3,3,Loyal
C0219,4,30,10822.283,5,5,5,Champions
C0220,11,4,1096.942,5,2,2,Promising
C0222,37,4,817.597,3,2,2,Regular
C0223,22,7,4109.581,4,3,4,Loyal
C0224,16,13,4458.3755,4,4,5,Champions
C0225,54,5,2463.687,3,3,4,Loyal
C0226,7,7,2000.449,5,3,3,Loyal
C0227,1,3,1430.8600000000001,5,2,3,Promising
C0228,2,4,1111.65,5,2,2,Promising
C0229,156,2,259.712,1,1,1,Hibernating
C0230,130,1,105.332,1,1,1,Hibernating
C0231,12,1,1685.3999999999999,4,1,3,Promising
C0232,21,2,272.14500000000004,4,1,1,Promising
C0233,235,3,1232.8944999999999,1,2,3,Hibernating
C0234,1,206,53463.5735,5,5,5,Champions
C0235,318,1,91.7,1,1,1,Hibernating
C0236,157,5,941.7395000000001,1,3,2,Regular
C0237,18,19,5643.403,4,5,5,Champions
C0238,54,7,1143.567,3,3,2,Loyal
C0239,92,10,3778.276,2,4,4,At Risk
C0240,49,5,1289.758,3,3,3,Loyal
C0241,76,2,568.6724999999999,2,1,1,Hibernating
C0242,51,4,671.7075,3,2,2,Regular
C0243,385,1,25.85,1,1,1,Hibernating
C0244,50,2,116.46700000000001,3,1,1,Regular
C0245,12,7,3976.0775000000003,4,3,4,Loyal
C0246,30,11,2452.6485,3,4,4,Loyal
C0247,1,53,17929.6155,5,5,5,Champions
C0248,354,4,1381.742,1,2,3,Hibernating
C0249,23,6,2886.998,4,3,4,Loyal
C0250,279,3,1382.087,1,2,3,Hibernating
C0251,1,30,10777.2935,5,5,5,Champions
C0252,15,27,6286.6635,4,5,5,Champions
C0253,4,5,2692.1314999999995,5,3,4,Loyal
C0254,125,2,343.34049999999996,1,1,1,Hibernating
C0255,16,33,11001.2135,4,5,5,Champions
C0256,44,4,1397.913,3,2,3,Regular
C0257,29,3,1716.207,3,2,3,Regular
C0258,15,22,5489.815,4,5,5,Champions
C0259,204,3,722.313,1,2,2,Hibernating
C0260,10,17,4257.9845000000005,5,5,5,Champions
C0261,40,1,548.68,3,1,1,Regular
C0263,65,3,822.34,2,2,2,Hibernating
C0264,30,9,1841.2749999999999,3,4,3,Loyal
C0265,17,23,6154.636,4,5,5,Champions
C0266,92,2,674.632,2,1,2,Hibernating
C0267,78,2,289.527,2,1,1,Hibernating
C0268,243,2,354.624,1,1,1,Hibernating
C0269,17,2,125.5605,4,1,1,Promising
C0271,102,1,220.34,2,1,1,Hibernating
C0272,632,1,370.296,1,1,1,Hibernating
C0273,13,2,612.66,4,1,2,Promising
C0274,37,21,9486.904,3,5,5,Loyal
C0275,1,54,17197.268,5,5,5,Champions
C0277,284,1,223.91100000000003,1,1,1,Hibernating
C0278,69,4,841.1465,2,2,2,Hibernating
C0279,5,20,4689.485,5,5,5,Champions
C0280,138,4,1023.097,1,2,2,Hibernating
C0281,6,26,5941.4195,5,5,5,Champions
C0282,54,14,4507.8705,3,5,5,Loyal
C0283,59,6,2223.182,2,3,3,Regular
C0284,6,14,4828.3085,5,5,5,Champions
C0285,47,5,1290.4095,3,3,3,Loyal
C0286,8,47,13047.563,5,5,5,Champions
C0287,19,6,2735.5045,4,3,4,Loyal
C0288,400,1,583.16,1,1,2,Hibernating
C0289,24,8,2448.11,4,4,4,Champions
C0290,45,7,1851.0210000000002,3,3,3,Loyal
C0291,18,6,1861.6570000000002,4,3,3,Loyal
C0292,40,3,1197.4830000000002,3,2,2,Regular
C0293,87,13,3873.4025,2,4,4,At Risk
C0295,10,8,2599.9395,5,4,4,Champions
C0296,60,9,3199.85,2,4,4,At Risk
C0297,236,1,61.93,1,1,1,Hibernating
C0298,154,10,2734.6625,1,4,4,At Risk
C0299,96,10,3326.422,2,4,4,At Risk
C0300,27,3,498.7205,4,2,1,Promising
C0301,180,6,1464.4115,1,3,3,Regular
C0302,34,18,4670.1985,3,5,5,Loyal
C0303,42,3,928.742,3,2,2,Regular
C0304,37,4,1414.844,3,2,3,Regular
C0305,13,4,707.51,4,2,2,Promising
C0306,46,17,4610.4415,3,5,5,Loyal
C0307,27,2,580.7729999999999,4,1,2,Promising
C0309,27,2,532.21,4,1,1,Promising
C0310,32,5,1895.109,3,3,3,Loyal
C0311,63,3,1171.7275,2,2,2,Hibernating
C0312,59,1,337.08,2,1,1,Hibernating
C0313,20,18,4798.2295,4,5,5,Champions
C0314,94,12,3772.22,2,4,4,At Risk
C0316,106,5,739.163,2,3,2,Regular
C0317,15,4,3204.6025,4,2,4,Promising
C0318,13,52,17306.5695,4,5,5,Champions
C0319,127,1,831.12,1,1,2,Hibernating
C0320,32,8,4501.046,3,4,5,Loyal
C0321,10,3,877.1959999999999,5,2,2,Promising
C0322,2,23,7360.2365,5,5,5,Champions
C0323,73,3,1249.875,2,2,3,Hibernating
C0324,51,16,5870.537,3,5,5,Loyal
C0325,123,3,971.649,1,2,2,Hibernating
C0326,32,9,1603.5839999999998,3,4,3,Loyal
C0327,6,12,2909.6459999999997,5,4,4,Champions
C0328,44,9,3450.3675,3,4,4,Loyal
C0329,20,2,873.1179999999999,4,1,2,Promising
C0330,63,2,242.68400000000003,2,1,1,Hibernating
C0331,226,2,228.79999999999998,1,1,1,Hibernating
C0332,3,67,21797.5555,5,5,5,Champions
C0333,277,1,98.217,1,1,1,Hibernating
C0334,267,3,320.471,1,2,1,Hibernating
C0335,25,7,1801.9145,4,3,3,Loyal
C0336,18,14,3971.5624999999995,4,5,4,Champions
C0337,4,24,8744.3325,5,5,5,Champions
C0338,34,30,8252.7635,3,5,5,Loyal
C0339,15,11,2823.9955,4,4,4,Champions
C0340,111,3,2224.812,1,2,3,Hibernating
C0341,159,2,1228.41,1,1,2,Hibernating
C0342,80,6,1941.63,2,3,3,Regular
C0343,14,5,1304.873,4,3,3,Loyal
C0344,69,1,247.1,2,1,1,Hibernating
C0345,12,20,7217.5605,4,5,5,Champions
C0346,37,2,893.891,3,1,2,Regular
C0347,2,21,7796.5985,5,5,5,Champions
C0348,49,4,1302.4524999999999,3,2,3,Regular
C0349,185,7,1740.4685,1,3,3,Regular
C0350,30,4,2696.566,3,2,4,Regular
C0351,252,5,1466.9544999999998,1,3,3,Regular
C0352,76,2,932.387,2,1,2,Hibernating
C0353,104,17,5524.6945,2,5,5,At Risk
C0354,31,6,1684.511,3,3,3,Loyal
C0355,7,2,884.6980000000001,5,1,2,Promising
C0356,39,3,723.6134999999999,3,2,2,Regular
C0357,7,26,9199.8555,5,5,5,Champions
C0358,27,20,5670.0815,4,5,5,Champions
C0359,135,1,529.06,1,1,1,Hibernating
C0360,84,2,920.384,2,1,2,Hibernating
C0361,34,2,964.604,3,1,2,Regular
C0362,76,4,1636.7820000000002,2,2,3,Hibernating
C0363,12,14,3118.713,4,5,4,Champions
C0365,129,1,455.5,1,1,1,Hibernating
C0366,62,22,7637.573,2,5,5,At Risk
C0367,20,16,4175.781,4,5,4,Champions
C0368,11,17,5768.914,5,5,5,Champions
C0369,143,5,818.8895,1,3,2,Regular
C0370,37,5,1190.037,3,3,2,Loyal
C0371,39,11,4476.595,3,4,5,Loyal
C0372,1,383,120179.56049999999,5,5,5,Champions
C0373,54,1,1284.12,3,1,3,Regular
C0374,111,2,289.024,1,1,1,Hibernating
C0375,30,45,13104.265,3,5,5,Loyal
C0376,14,5,2422.3909999999996,4,3,4,Loyal
C0377,91,17,4587.1455,2,5,5,At Risk
C0378,24,1,54.36,4,1,1,Promising
C0379,5,13,3756.0344999999998,5,4,4,Champions
C0380,3,8,2662.199,5,4,4,Champions
C0381,12,7,2690.0460000000003,4,3,4,Loyal
C0382,55,11,2824.0725,2,4,4,At Risk
C0383,19,8,2111.5465,4,4,3,Champions
C0384,56,5,656.9885,2,3,2,Regular
C0385,257,2,239.64049999999997,1,1,1,Hibernating
C0386,31,4,1052.7515,3,2,2,Regular
C0387,3,3,1523.5900000000001,5,2,3,Promising
C0388,7,13,4881.8544999999995,5,4,5,Champions
C0389,6,10,2623.776,5,4,4,Champions
C0391,206,4,1425.474,1,2,3,Hibernating
C0392,160,13,5325.593,1,4,5,At Risk
C0393,7,77,23820.231,5,5,5,Champions
C0394,3,30,8713.7555,5,5,5,Champions
C0395,1,21,6226.0225,5,5,5,Champions
C0396,31,2,347.098,3,1,1,Regular
C0397,302,7,3319.4339999999997,1,3,4,Regular
C0398,18,9,1823.313,4,4,3,Champions
C0399,17,2,454.842,4,1,1,Promising
C0400,18,9,3483.7665,4,4,4,Champions
C0401,4,19,5163.225,5,5,5,Champions
C0402,2,4,1151.842,5,2,2,Promising
C0403,37,12,2738.5564999999997,3,4,4,Loyal
C0404,62,10,1659.156,2,4,3,At Risk
C0405,30,2,518.11,3,1,1,Regular
C0406,29,35,9867.6385,3,5,5,Loyal
C0407,214,1,394.782,1,1,1,Hibernating
C0408,218,1,216.36249999999998,1,1,1,Hibernating
C0409,96,1,145.18,2,1,1,Hibernating
C0410,195,3,680.2165,1,2,2,Hibernating
C0411,8,24,8421.18,5,5,5,Champions
C0412,151,6,2536.402,1,3,4,Regular
C0413,154,1,46.07,1,1,1,Hibernating
C0414,34,2,139.17,3,1,1,Regular
C0415,118,1,267.25,1,1,1,Hibernating
C0416,54,4,1132.5,3,2,2,Regular
C0417,20,10,3613.815,4,4,4,Champions
C0418,129,8,3923.3395,1,4,4,At Risk
C0419,18,15,4383.939,4,5,5,Champions
C0420,375,2,168.14,1,1,1,Hibernating
C0421,231,4,1327.877,1,2,3,Hibernating
C0422,6,5,1611.2825,5,3,3,Loyal
C0423,7,3,1318.3210000000001,5,2,3,Promising
C0424,146,2,1750.4500000000003,1,1,3,Hibernating
C0425,75,4,281.464,2,2,1,Hibernating
C0426,26,15,5515.451,4,5,5,Champions
C0427,60,5,1526.908,2,3,3,Regular
C0428,116,1,70.4905,1,1,1,Hibernating
C0429,1,5,2830.212,5,3,4,Loyal
C0430,38,9,2883.925,3,4,4,Loyal
C0431,7,7,2510.767,5,3,4,Loyal
C0432,43,30,8542.7105,3,5,5,Loyal
C0433,313,2,720.1960000000001,1,1,2,Hibernating
C0434,63,2,1323.254,2,1,3,Hibernating
C0435,39,7,1670.7995,3,3,3,Loyal
C0436,178,8,2789.454,1,4,4,At Risk
C0437,51,3,644.66,3,2,2,Regular
C0438,11,13,4887.2795,5,4,5,Champions
C0439,58,2,1139.0720000000001,2,1,2,Hibernating
C0440,35,3,1051.985,3,2,2,Regular
C0441,60,2,389.597,2,1,1,Hibernating
C0443,65,6,2984.5364999999997,2,3,4,Regular
C0444,19,7,1941.337,4,3,3,Loyal
C0445,3,6,3370.618,5,3,4,Loyal
C0446,62,6,1051.069,2,3,2,Regular
C0447,16,8,2159.963,4,4,3,Champions
C0448,52,14,5432.8925,3,5,5,Loyal
C0450,128,2,419.358,1,1,1,Hibernating
C0451,53,21,9920.269,3,5,5,Loyal
C0452,194,2,273.724,1,1,1,Hibernating
C0453,1,1,382.54,5,1,1,Promising
C0454,112,2,276.83,1,1,1,Hibernating
C0455,17,2,558.431,4,1,1,Promising
C0456,8,22,7336.3305,5,5,5,Champions
C0457,185,7,1633.2745,1,3,3,Regular
C0458,39,6,949.1005,3,3,2,Loyal
C0459,216,1,1183.68,1,1,2,Hibernating
C0460,16,4,3008.5299999999997,4,2,4,Promising
C0461,53,3,455.634,3,2,1,Regular
C0462,19,3,1175.2019999999998,4,2,2,Promising
C0463,2,7,3039.815,5,3,4,Loyal
C0464,65,9,1647.2785,2,4,3,At Risk
C0465,103,12,4738.8835,2,4,5,At Risk
C0466,24,18,5866.9085,4,5,5,Champions
C0467,51,9,2426.6305,3,4,4,Loyal
C0469,1,3,807.1800000000001,5,2,2,Promising
C0470,343,1,337.69649999999996,1,1,1,Hibernating
C0471,32,19,6012.818,3,5,5,Loyal
C0472,106,10,3549.0645,2,4,4,At Risk
C0473,53,15,4830.788,3,5,5,Loyal
C0474,13,10,3051.235,4,4,4,Champions
C0475,174,9,2330.5099999999998,1,4,4,At Risk
C0476,183,1,21.91,1,1,1,Hibernating
C0477,85,3,1466.29,2,2,3,Hibernating
C0478,3,122,37680.937,5,5,5,Champions
C0479,33,1,169.056,3,1,1,Regular
C0480,15,2,306.94,4,1,1,Promising
C0481,54,3,1385.395,2,2,3,Hibernating
C0482,119,7,1948.373,1,3,3,Regular
C0483,6,3,1066.9575,5,2,2,Promising
C0484,231,5,2502.3089999999997,1,3,4,Regular
C0485,74,7,1732.025,2,3,3,Regular
C0486,432,1,187.002,1,1,1,Hibernating
C0487,6,6,1321.499,5,3,3,Loyal
C0488,6,3,1135.3020000000001,5,2,2,Promising
C0489,15,3,1236.5240000000001,4,2,3,Promising
C0490,39,7,1838.5215,3,3,3,Loyal
C0491,21,12,3488.9015,4,4,4,Champions
C0492,28,6,1619.732,4,3,3,Loyal
C0493,295,2,207.498,1,1,1,Hibernating
C0494,188,2,235.995,1,1,1,Hibernating
C0495,1,17,3675.567,5,5,4,Champions
C0496,185,7,1905.3065000000001,1,3,3,Regular
C0497,45,7,2202.9120000000003,3,3,3,Loyal
C0498,17,12,4009.6485,4,4,4,Champions
C0499,70,3,1127.152,2,2,2,Hibernating
C0500,22,40,10085.9195,4,5,5,Champions
C0501,43,2,447.44,3,1,1,Regular
C0502,18,2,733.0,4,1,2,Promising
C0503,20,8,2286.398,4,4,4,Champions
C0504,50,4,1426.1235000000001,3,2,3,Regular
C0505,11,33,7232.57,5,5,5,Champions
C0506,25,3,833.155,4,2,2,Promising
C0507,6,41,11061.767,5,5,5,Champions
C0508,220,4,1490.7995,1,2,3,Hibernating
C0509,38,4,1239.6689999999999,3,2,3,Regular
C0510,17,2,396.855,4,1,1,Promising
C0511,588,1,1142.64,1,1,2,Hibernating
C0512,18,24,9630.751,4,5,5,Champions
C0513,6,73,22950.1885,5,5,5,Champions
C0514,29,6,1757.049,3,3,3,Loyal
C0515,47,3,1406.5394999999999,3,2,3,Regular
C0516,8,7,2249.663,5,3,3,Loyal
C0517,50,3,565.456,3,2,1,Regular
C0518,19,12,2107.9145,4,4,3,Champions
C0519,10,7,2837.2845,5,3,4,Loyal
C0520,20,6,3012.4449999999997,4,3,4,Loyal
C0521,244,6,1182.6325,1,3,2,Regular
C0522,324,5,979.1355,1,3,2,Regular
C0523,5,10,1909.3195,5,4,3,Champions
C0524,85,6,2148.6910000000003,2,3,3,Regular
C0525,30,5,2145.5519999999997,3,3,3,Loyal
C0526,81,2,1226.6425,2,1,2,Hibernating
C0527,62,2,632.7385,2,1,2,Hibernating
C0528,53,2,407.05,3,1,1,Regular
C0529,222,4,1315.8500000000001,1,2,3,Hibernating
C0530,35,6,2239.451,3,3,3,Loyal
C0531,97,2,1302.683,2,1,3,Hibernating
C0532,148,3,498.1195,1,2,1,Hibernating
C0534,65,1,483.873,2,1,1,Hibernating
C0535,8,1,176.148,5,1,1,Promising
C0536,141,1,426.56399999999996,1,1,1,Hibernating
C0537,326,3,809.4200000000001,1,2,2,Hibernating
C0538,43,16,6019.7065,3,5,5,Loyal
C0539,109,2,645.5240000000001,2,1,2,Hibernating
C0540,7,8,1608.744,5,4,3,Champions
C0541,11,1,85.66,5,1,1,Promising
C0542,5,36,10538.515,5,5,5,Champions
C0543,191,2,670.7,1,1,2,Hibernating
C0544,120,1,449.70099999999996,1,1,1,Hibernating
C0545,51,2,666.783,3,1,2,Regular
C0546,31,18,5334.658,3,5,5,Loyal
C0547,188,2,457.42,1,1,1,Hibernating
C0548,11,7,1958.127,5,3,3,Loyal
C0549,17,14,4113.791,4,5,4,Champions
C0550,28,21,6150.1555,4,5,5,Champions
C0551,79,9,3458.0645,2,4,4,At Risk
C0552,211,1,116.144,1,1,1,Hibernating
C0554,21,8,2479.9345000000003,4,4,4,Champions
C0555,120,9,1605.382,1,4,3,At Risk
C0556,45,7,1872.9095,3,3,3,Loyal
C0558,10,3,875.0070000000001,5,2,2,Promising
C0559,58,4,1481.6299999999999,2,2,3,Hibernating
C0560,118,6,2278.7005,1,3,3,Regular
C0561,31,7,2500.652,3,3,4,Loyal
C0562,20,7,2682.122,4,4,4,Champions
C0564,109,3,279.4,1,2,1,Hibernating
C0565,19,7,2090.2215,4,4,3,Champions
C0566,55,2,348.22700000000003,2,1,1,Hibernating
C0567,12,26,9220.1935,4,5,5,Champions
C0569,156,5,1644.8895,1,3,3,Regular
C0570,14,4,1037.1154999999999,4,2,2,Promising
C0572,68,15,5586.674,2,5,5,At Risk
C0573,36,5,1689.0980000000002,3,3,3,Loyal
C0574,22,30,10500.1145,4,5,5,Champions
C0575,99,1,159.19,2,1,1,Hibernating
C0576,42,5,1141.734,3,3,2,Loyal
C0577,40,18,4836.899,3,5,5,Loyal
C0578,12,14,3246.3185,4,5,4,Champions
C0579,55,4,1003.8850000000001,2,2,2,Hibernating
C0580,7,7,4355.651,5,4,5,Champions
C0581,28,14,3516.5855,4,5,4,Champions
C0582,41,6,3061.8725,3,3,4,Loyal
C0583,91,2,1650.3779999999997,2,1,3,Hibernating
C0584,257,2,251.252,1,1,1,Hibernating
C0585,146,1,532.6560000000001,1,1,1,Hibernating
C0586,83,3,796.8595,2,2,2,Hibernating
C0587,184,1,339.625,1,1,1,Hibernating
C0588,105,4,1494.4119999999998,2,2,3,Hibernating
C0589,129,2,574.11,1,1,2,Hibernating
C0590,55,11,3409.902,2,4,4,At Risk
C0591,12,12,3825.917,4,4,4,Champions
C0592,10,15,3906.743,5,5,4,Champions
C0593,9,11,3585.4575000000004,5,4,4,Champions
C0594,10,3,1775.74,5,2,3,Promising
C0595,93,3,1305.265,2,2,3,Hibernating
C0596,31,5,1506.6055,3,3,3,Loyal
C0597,26,7,3002.975,4,4,4,Champions
C0598,67,10,4626.1695,2,4,5,At Risk
C0599,38,8,1731.7765,3,4,3,Loyal
C0600,29,9,2328.1435,3,4,4,Loyal
C0603,21,21,6325.712500000001,4,5,5,Champions
C0604,58,22,7405.6615,2,5,5,At Risk
